102|4/12/2018 12:45:46 PM|Chuck|$48.81
103|4/12/2018 9:20:32 PM|Chuck|$10.28
104|4/12/2018 10:44:20 PM|Chuck|$3.34
105|4/12/2018 10:56:16 PM|Stacy|$2.57
106|4/12/2018 10:57:56 PM|Shawna|$4.62
107|4/12/2018 10:59:46 PM|Sarah|$18.75
108|4/13/2018 8:26:02 AM|Stacy|$130.49
109|4/13/2018 1:14:50 PM|Chuck|$8.99
110|4/13/2018 10:20:11 PM|Stacy|$22.09
111|4/15/2018 11:12:35 AM|Chuck|$0.00
112|4/15/2018 11:12:41 AM|Chuck|$0.00
113|4/15/2018 10:28:31 PM|Stacy|$0.00
114|4/15/2018 10:35:02 PM|Stacy|$0.00
115|4/15/2018 10:36:09 PM|Sarah|$0.00
116|4/15/2018 10:37:56 PM|Stacy|$0.00
117|4/16/2018 8:17:46 AM|Sarah|$0.00
118|4/16/2018 8:18:03 AM|Sarah|$5.65
119|4/16/2018 8:49:05 AM|Sarah|$26.97
120|4/16/2018 8:49:12 AM|Sarah|$2.57
121|4/16/2018 9:08:11 AM|Sarah|$54.71
122|4/16/2018 9:11:53 AM|Sarah|$0.00
123|4/16/2018 9:39:44 AM|Sarah|$5.65
124|4/16/2018 10:22:05 AM|Chuck|$156.69
125|4/16/2018 10:22:16 AM|Chuck|$49.06
126|4/16/2018 10:30:59 AM|Chuck|$30.31
127|4/16/2018 10:37:23 AM|Chuck|$69.87
128|4/16/2018 10:39:12 AM|Sarah|$22.61
129|4/16/2018 10:41:29 AM|Chuck|$22.61
130|4/16/2018 10:42:08 AM|Sarah|$16.95
131|4/16/2018 10:46:23 AM|Chuck|$10.28
132|4/16/2018 10:47:52 AM|Chuck|$16.95
133|4/16/2018 10:49:15 AM|Chuck|$16.95
134|4/16/2018 10:50:08 AM|Chuck|$7.71
135|4/16/2018 10:50:44 AM|Sarah|$16.95
136|4/16/2018 10:51:38 AM|Chuck|$33.91
137|4/16/2018 10:51:49 AM|Chuck|$10.28
138|4/16/2018 10:51:53 AM|Chuck|$14.39
139|4/16/2018 10:52:17 AM|Chuck|$1,897.79
140|4/16/2018 10:52:58 AM|Chuck|$0.00
141|4/16/2018 10:57:44 AM|Chuck|$66.79
